"County","AdaCounty","AdamsCounty","BannockCounty","BearLakeCounty","BenewahCounty","BinghamCounty","BlaineCounty","BoiseCounty","BonnerCounty","BonnevilleCounty","BoundaryCounty","ButteCounty","CamasCounty","CanyonCounty","CaribouCounty","CassiaCounty","ClarkCounty","ClearwaterCounty","CusterCounty","ElmoreCounty","FranklinCounty","FremontCounty","GemCounty","GoodingCounty","IdahoCounty","JeffersonCounty","JeromeCounty","KootenaiCounty","LatahCounty","LemhiCounty","LewisCounty","LincolnCounty","MadisonCounty","MinidokaCounty","NezPerceCounty","OneidaCounty","OwyheeCounty","PayetteCounty","PowerCounty","ShoshoneCounty","TetonCounty","TwinFallsCounty","ValleyCounty","WashingtonCounty"
"AdaCounty",16.8,140,247.1,328,360.8,255.3,144.1,52,502.3,292.3,531.3,197.9,107.5,25.5,298.4,186,269.9,301.9,258.4,57.3,303.1,347.8,43.7,102.1,224.5,303.2,131.1,453.7,304,323.9,238.9,130.6,312.5,172.7,270,268.5,86.7,53.3,215.3,508.4,359.6,138.1,104.1,86.4
"AdamsCounty",141.5,19,386,466.9,243.3,394.2,282.9,113.4,331.1,431.2,360.1,336.8,246.4,124.7,437.3,324.9,408.7,184.4,230.9,196.2,442,486.6,122.1,241,107,442.1,269.9,277.1,186.5,290.5,121.4,269.5,451.3,311.5,152.5,407.3,200.8,90.4,354.2,309.3,498.5,277,49.8,55.8
"BannockCounty",247.1,384.5,17.4,84,556.5,30.9,155.5,285.6,591.5,67.9,583.4,89.4,189.4,270,54.4,97.8,114,546.4,157,204,59.1,123.3,288.2,151.9,469,78.8,120.2,536.3,548.5,208.1,483.4,156.1,88,89.3,514.5,62.9,234.5,297.8,35.9,497.3,135.2,137.2,348.6,330.9
"BearLakeCounty",328,465.4,84,16.7,637.5,111.9,236.5,366.6,672.4,148.9,664.3,170.4,270.4,351,40.8,178.7,194.9,627.4,237.9,285,39.4,204.3,369.1,232.9,549.9,159.7,201.2,617.2,629.4,289.1,564.3,237,169,170.3,595.4,113.6,315.5,378.8,116.8,578.2,144,218.1,429.6,411.9
"BenewahCounty",360.8,243.3,556.5,637.5,14.4,527.4,502.3,335.4,112.7,512.2,141.7,524.6,465.7,367,607.9,544.2,449.9,85.1,414.1,415.5,612.5,480,344.1,460.3,167.7,483.4,489.3,58.7,73.6,354.1,127.5,488.8,498.2,530.9,93.4,616.3,443,332.7,569.8,75.9,545.4,496.3,271.8,298
"BinghamCounty",255.3,392.7,30.9,111.9,527.5,23.7,126.4,293.8,562.4,38.9,554.3,60.3,151.6,278.3,82.3,106,84.9,558.7,127.9,212.3,86.9,94.3,296.4,160.2,477.2,49.7,128.5,507.2,591.1,179.1,491.6,136.1,59,97.6,522.7,90.7,242.8,306,44.1,468.2,106.1,145.4,356.9,339.2
"BlaineCounty",144.1,281.4,155.5,236.5,502.3,126.3,26.5,182.6,561.9,147.4,553.9,73.5,44.8,167,206.9,126.7,145.5,443.4,134,96.5,211.5,189.3,185.1,67.6,365.9,139.1,68.7,506.8,445.4,195.2,380.3,53.6,154,113.3,411.4,215.3,149.7,194.8,156,467.8,201.1,83.6,245.6,227.9
"BoiseCounty",52,113.4,285.6,366.6,335.4,293.8,182.6,22.5,423.1,330.9,452.2,236.4,146,75,337,224.5,308.4,276.5,132.6,95.9,341.6,386.3,58.8,140.6,199,341.7,169.6,369.1,278.5,192.2,213.4,169.1,351,211.2,244.5,307,125.2,87.2,253.8,401.4,398.1,176.6,78.7,119.7
"BonnerCounty",502.3,331.1,591.5,672.4,112.7,562.3,561.9,423.1,22.5,547.1,51.3,559.5,607.2,485.5,642.8,666.6,484.8,194.4,449.1,557,647.5,514.9,487,601.8,258.5,518.3,630.7,56.2,156.7,389,215.3,630.3,533.1,658.1,181.2,651.2,561.6,453.7,604.7,110.9,580.3,637.8,359.6,385.8
"BonnevilleCounty",292.3,429.7,67.9,148.9,512.2,38.8,147.4,330.9,547.1,22.4,539,81.4,172.6,315.3,119.3,143,69.6,543.4,148.9,249.3,123.9,70.5,333.4,197.2,497.7,34.4,165.5,491.9,575.8,163.8,520.4,157.1,35.2,134.6,542.1,127.7,279.8,343.1,81.1,452.9,82.3,182.4,393.9,376.2
"BoundaryCounty",531.3,360.1,583.4,664.3,141.7,554.2,553.9,452.2,51.3,539,18.4,551.5,636.2,514.5,634.7,658.5,476.8,223.5,441,586,639.4,506.8,516.1,630.8,287.6,510.2,659.7,85.3,185.7,380.9,244.3,567.9,525,650.1,210.2,643.2,590.6,482.8,596.6,139.9,572.2,666.8,388.6,414.8
"ButteCounty",197.9,335.3,89.4,170.4,524.6,60.3,73.5,236.4,559.5,81.4,551.5,24.3,98.6,220.8,140.8,164.5,76.7,477.9,75,150.3,145.4,120.5,238.9,113.4,419.8,70.4,114.5,504.3,499.3,139.3,434.1,83.2,85.2,156.1,465.3,149.2,195.5,248.6,102.6,465.3,132.4,129.4,299.4,281.7
"CamasCounty",107.5,244.9,189.4,270.4,465.7,151.5,44.8,146,607.2,172.6,636.2,98.6,16.9,130.5,240.8,128.4,170.6,406.8,159.1,59.9,245.4,214.4,148.6,46.3,329.4,164.3,73.4,558.7,408.9,224.7,343.8,66.8,179.1,115,374.9,210.8,106,158.2,157.7,497.2,226.3,85.3,209,191.3
"CanyonCounty",25.6,123.2,270.1,351.1,365.5,278.4,167.1,75.1,485.5,315.4,514.5,220.9,130.6,12.6,321.5,209.1,292.9,306.6,281.5,80.4,326.1,370.8,48.7,125.2,229.1,326.2,154.1,437,308.6,347,243.5,153.6,335.5,195.7,274.6,291.5,88.9,36.6,238.4,491.6,382.7,161.2,116.2,69.7
"CaribouCounty",298.4,435.8,54.4,40.8,607.9,82.3,206.9,337,642.8,119.3,634.7,140.8,240.8,321.4,21.8,149.1,165.3,597.8,208.3,255.4,49.9,174.7,339.5,203.3,520.3,130.1,171.6,587.6,599.8,259.5,534.7,207.4,139.4,140.7,565.8,84,285.9,349.2,87.2,548.6,133.9,188.5,400,382.3
"CassiaCounty",186,323.4,97.8,178.7,544.2,106,126.7,224.5,666.6,143,658.5,164.5,128.4,209,149.1,26.1,189.1,485.3,232.1,142.9,153.8,198.5,227.1,90.9,407.9,153.9,59.2,611.4,487.4,283.3,422.3,95,163.1,28.3,453.4,119.2,173.4,236.7,66,572.4,210.3,76.1,287.5,269.9
"ClarkCounty",269.9,407.2,114,194.9,449.9,84.8,145.5,308.4,484.8,69.6,476.8,76.7,170.6,292.8,165.3,189.1,21.6,481.1,146.9,222.3,170,91,310.9,185.4,435.4,40.8,211.6,429.6,513.5,129.2,458.2,155.1,55.6,180.7,479.8,173.7,267.5,320.6,127.2,390.6,102.8,228.5,371.4,353.7
"ClearwaterCounty",301.9,184.4,546.4,627.4,85.1,558.5,443.4,276.5,194.4,543.4,223.5,477.9,406.8,308.1,597.8,485.3,481.1,25.7,419.7,356.7,602.4,511.1,285.2,401.4,90.9,514.5,430.4,139.3,111.7,359.7,98.4,429.9,529.4,472,90.5,567.8,384.1,273.8,514.6,151.1,576.5,437.4,212.9,239.1
"CusterCounty",258.4,230.9,157,237.9,414.1,127.8,134,132.6,449.1,148.9,441,75,159.1,281.4,208.3,232.1,146.9,419.7,36.1,210.8,213,190.8,176.3,173.9,374.1,140.6,175,393.9,439.7,82.3,396.8,143.7,155.4,223.6,418.5,216.7,256,309.1,170.2,354.9,202.6,189.9,196.3,342.2
"ElmoreCounty",57.3,194.7,204,285,415.5,212.3,96.5,95.9,557,249.3,586,150.3,59.9,80.3,255.4,142.9,222.3,356.7,210.8,28.7,260,304.7,98.4,59,279.2,215.9,88,508.5,358.7,276.3,293.6,87.5,269.4,129.6,324.7,225.4,55.8,108.1,172.3,563.1,316.6,95.1,158.9,141.2
"FranklinCounty",303.1,440.5,59.1,39.4,612.5,86.9,211.5,341.6,647.5,123.9,639.4,145.4,245.4,326,49.9,153.8,170,602.4,213,260,13.3,179.3,344.2,207.9,525,134.8,176.2,592.3,604.5,264.1,539.4,212.1,144,145.3,570.5,66.2,290.5,353.8,91.9,553.3,191.2,193.2,404.6,386.9
"FremontCounty",347.8,485.1,123.3,204.3,480,94.2,189.3,386.3,514.9,70.5,506.8,120.5,214.4,370.7,174.7,198.5,91,511.1,190.8,304.7,179.3,22.4,388.8,252.6,465.5,66.9,220.9,459.7,543.6,185.1,488.2,199,40.8,190,509.9,183.1,335.2,398.5,136.6,420.7,54.9,237.9,449.3,431.6
"GemCounty",43.7,121,288.2,369.1,344.1,296.4,185.1,58.8,487,333.4,516.1,238.9,148.6,48.7,339.5,227.1,310.9,285.2,176.3,98.4,344.2,388.8,12.2,143.2,207.8,344.3,172.1,438.5,287.3,235.9,222.2,171.7,353.5,213.7,253.3,309.5,124.7,34.9,256.4,410.1,400.7,179.2,87.4,67.4
"GoodingCounty",102.1,239.5,151.9,232.9,460.3,160.2,67.6,140.6,601.8,197.2,630.8,113.4,46.3,125.1,203.3,90.9,185.4,401.4,173.9,59,207.9,252.6,143.2,13.9,324,208,35.9,553.2,403.5,239.4,338.4,35.9,217.3,77.5,369.5,173.3,89.5,152.8,120.2,512,264.5,47.8,203.6,185.9
"IdahoCounty",224.5,107,469,549.9,167.7,477.2,365.9,199,258.5,497.7,287.6,419.8,329.4,230.6,520.3,407.9,435.4,90.9,374.1,279.2,525,465.5,207.8,324,47.4,468.9,352.9,204.5,110.9,314,48.9,352.5,483.7,394.5,80,490.3,306.7,196.3,437.2,233.7,530.9,360,135.5,161.7
"JeffersonCounty",303.2,440.6,78.8,159.7,483.4,49.6,139.1,341.7,518.3,34.4,510.2,70.4,164.3,326.1,130.1,153.9,40.8,514.5,140.6,215.9,134.8,66.9,344.3,208,468.9,17.1,176.3,463.1,547,135,491.6,148.8,31.5,145.4,513.3,138.5,290.6,353.9,92,424.1,78.7,193.3,404.7,387
"JeromeCounty",131.1,268.4,120.2,201.2,489.3,128.5,68.7,169.6,630.7,165.5,659.7,114.5,73.4,154,171.6,59.2,211.6,430.4,175,88,176.2,220.9,172.1,35.9,352.9,176.3,12.6,582.2,432.4,240.6,367.3,37,185.6,45.8,398.4,141.6,118.5,181.8,88.5,594.8,232.8,34.2,232.6,214.9
"KootenaiCounty",453.7,277.1,536.3,617.2,58.7,507.1,506.8,369.1,56.2,491.9,85.3,504.3,558.7,437,587.6,611.4,429.6,139.3,393.9,508.5,592.3,459.7,438.5,553.2,204.5,463.1,582.2,18.7,102.7,333.8,161.3,581.7,477.9,603,127.2,596,513,405.2,549.5,55.7,525.1,589.3,305.6,331.8
"LatahCounty",304,186.5,548.5,629.4,73.6,591,445.4,278.5,156.7,575.8,185.7,499.3,408.9,310.1,599.8,487.4,513.5,111.7,439.7,358.7,604.5,543.6,287.3,403.5,110.9,547,432.4,102.7,16.9,379.6,70.7,432,561.8,474,36.6,569.8,386.2,275.8,516.7,139.6,609,439.5,215,241.2
"LemhiCounty",323.9,290.5,208.1,289.1,354.1,179,195.2,192.2,389,163.8,380.9,139.3,224.7,346.9,259.5,283.3,129.2,359.7,82.3,276.3,264.1,185.1,235.9,239.4,314,135,240.6,333.8,379.6,34.8,336.8,209.2,149.8,274.8,358.4,267.9,321.6,374.6,221.4,294.8,197,255.4,255.9,407.8
"LewisCounty",238.9,121.4,483.4,564.3,127.5,491.6,380.3,213.4,215.3,520.4,244.3,434.1,343.8,245,534.7,422.3,458.2,98.4,396.8,293.6,539.4,488.2,222.2,338.4,48.9,491.6,367.3,161.3,70.7,336.8,11.3,366.9,506.5,408.9,36.7,504.7,321.1,210.7,451.6,193.5,553.6,374.4,149.9,176.1
"LincolnCounty",130.6,268,156.1,237,488.8,136,53.6,169.1,630.3,157.1,567.9,83.2,66.8,153.6,207.4,95,155.1,429.9,143.7,87.5,212.1,199,171.7,35.9,352.5,148.8,37,581.7,432,209.2,366.9,17.9,163.6,59.8,398,177.4,118,181.3,124.3,481.8,210.8,51.9,232.1,214.4
"MadisonCounty",312.5,449.8,88,169,498.2,58.9,154,351,533.1,35.2,525,85.2,179.1,335.4,139.4,163.1,55.6,529.4,155.4,269.4,144,40.8,353.5,217.3,483.7,31.5,185.6,477.9,561.8,149.8,506.5,163.6,11.2,154.7,528.1,147.8,299.9,363.2,101.3,438.9,50.9,202.5,414,396.3
"MinidokaCounty",172.7,310,89.3,170.3,530.9,97.6,113.3,211.2,658.1,134.6,650.1,156.1,115,195.6,140.7,28.3,180.7,472,223.6,129.6,145.3,190,213.7,77.5,394.5,145.4,45.8,603,474,274.8,408.9,59.8,154.7,14.2,440,110.7,160.1,223.4,57.6,564,201.9,62.8,274.2,256.5
"NezPerceCounty",270,152.5,514.5,595.4,93.4,522.7,411.4,244.5,181.2,542.1,210.2,465.3,374.9,276.1,565.8,453.4,479.8,90.5,418.5,324.7,570.5,509.9,253.3,369.5,80,513.3,398.4,127.2,36.6,358.4,36.7,398,528.1,440,15.1,535.8,352.2,241.8,482.7,159.4,575.3,405.5,181,207.2
"OneidaCounty",268.5,405.8,62.9,113.6,616.3,90.7,215.3,307,651.2,127.7,643.2,149.2,210.8,291.4,84,119.2,173.7,567.8,216.7,225.4,66.2,183.1,309.5,173.3,490.3,138.5,141.6,596,569.8,267.9,504.7,177.4,147.8,110.7,535.8,17.8,255.9,319.2,65.3,557,195,158.6,370,352.3
"OwyheeCounty",86.7,204.9,234.5,315.5,447.1,242.8,149.7,125.2,567.2,279.8,596.2,195.5,106,88.9,285.9,173.4,267.5,388.2,256,55.8,290.5,335.2,124.7,89.5,310.8,290.6,118.5,518.7,390.3,321.6,325.2,118,299.9,160.1,356.3,255.9,45.1,118.2,202.8,573.3,347.1,125.6,185.1,151.3
"PayetteCounty",53.3,90.2,297.8,378.8,332.5,306,194.8,87.2,453.7,343.1,482.8,248.6,158.2,36.6,349.2,236.7,320.6,273.6,309.1,108.1,353.8,398.5,34.9,152.8,196.1,353.9,181.8,405.2,275.6,374.6,210.5,181.3,363.2,223.4,241.6,319.2,112.6,10.4,266,459.8,410.4,188.8,115.9,36.7
"PowerCounty",215.3,352.7,35.9,116.8,569.8,44.1,156,253.8,604.7,81.1,596.6,102.6,157.7,238.3,87.2,66,127.2,514.6,170.2,172.3,91.9,136.6,256.4,120.2,437.2,92,88.5,549.5,516.7,221.4,451.6,124.3,101.3,57.6,482.7,65.3,202.8,266,19.5,510.5,148.4,105.4,316.9,299.2
"ShoshoneCounty",508.4,309.3,497.3,578.2,75.9,468.1,467.8,401.4,110.9,452.9,139.9,465.3,497.2,491.6,548.6,572.4,390.6,151.1,354.9,563.1,553.3,420.7,410.1,512,233.7,424.1,594.8,55.7,139.6,294.8,193.5,481.8,438.9,564,159.4,557,567.7,459.8,510.5,26.4,486.1,611.8,337.8,364
"TetonCounty",359.6,497,135.2,144,545.4,106,201.1,398.1,580.3,82.3,572.2,132.4,226.3,382.6,133.9,210.3,102.8,576.5,202.6,316.6,191.2,54.9,400.7,264.5,530.9,78.7,232.8,525.1,609,197,553.6,210.8,50.9,201.9,575.3,195,347.1,410.4,148.4,486.1,10.9,249.7,461.2,443.5
"TwinFallsCounty",138.1,275.5,137.2,218.1,496.3,145.4,83.6,176.6,637.8,182.4,666.8,129.4,85.3,161.1,188.5,76.1,228.5,437.4,189.9,95.1,193.2,237.9,179.2,47.8,360,193.3,34.2,589.3,439.5,255.4,374.4,51.9,202.5,62.8,405.5,158.6,125.6,188.8,105.4,611.8,249.7,22.6,239.6,221.9
"ValleyCounty",104.1,49.8,348.6,429.6,271.8,356.9,245.6,78.7,359.6,393.9,388.6,299.4,209,116.1,400,287.5,371.4,212.9,196.3,158.9,404.6,449.3,87.4,203.6,135.5,404.7,232.6,305.6,215,255.9,149.9,232.1,414,274.2,181,370,185.1,115.9,316.9,337.8,461.2,239.6,31.4,104.5
"WashingtonCounty",87.9,55.8,332.4,413.4,298,340.7,229.4,119.9,385.8,377.7,414.8,283.2,192.8,71.2,383.8,271.4,355.2,239.1,343.7,142.7,388.4,433.1,67.6,187.4,161.7,388.5,216.4,331.8,241.2,409.3,176.1,215.9,397.8,258,207.2,353.8,147.2,36.9,300.7,364,445,223.4,104.5,19.8
