"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AdairCounty",19,0,74,332,362,215,1235,123,141,217,83,406,80,192,2095,2146,126,1378,267,270
"AndrewCounty",39,24,62,203,62,167,361,87,12,51,16,78,4,104,468,370,80,155,45,151
"AtchisonCounty",90,0,39,36,42,141,181,49,34,56,4,76,0,39,281,286,16,197,53,99
"AudrainCounty",91,1,86,291,1984,494,1254,166,117,280,49,127,12,371,758,1586,100,475,372,831
"BarryCounty",333,24,71,523,4920,607,1474,192,169,264,84,1316,75,451,1168,1026,63,865,261,278
"BartonCounty",88,2,74,170,317,197,435,43,34,162,16,107,21,62,427,608,17,380,60,155
"BatesCounty",52,17,68,116,161,112,584,110,19,187,5,125,1,49,572,875,26,279,54,248
"BentonCounty",17,0,2,103,242,101,637,39,33,148,24,61,2,62,558,853,25,367,81,191
"BollingerCounty",16,12,3,86,187,127,323,41,19,33,0,64,5,35,337,334,0,92,58,98
"BooneCounty",191,82,581,3961,2963,2432,10645,1585,1746,3720,1205,4437,3419,4372,15349,17747,1403,9661,2274,3484
"BuchananCounty",32,7,326,1979,10390,1810,4840,1499,649,1579,477,1738,361,3017,2272,8519,768,3987,1297,2006
"ButlerCounty",144,0,222,699,2284,544,2482,346,205,559,154,598,46,1310,1440,4080,98,1792,418,731
"CaldwellCounty",22,18,12,95,26,40,264,107,47,82,7,16,0,49,394,204,1,38,36,167
"CallawayCounty",147,113,941,639,1670,364,1336,1135,121,284,129,409,104,457,2150,2649,173,1232,300,1205
"CamdenCounty",48,9,77,996,523,363,2728,202,245,434,318,469,77,419,1120,2382,514,2775,492,533
"CapeGirardeauCounty",127,31,178,1955,3003,2003,5199,867,595,1098,374,1188,572,1748,3754,10524,816,3901,916,918
"CarrollCounty",135,0,31,205,172,81,288,99,53,117,22,34,5,21,360,487,25,167,80,161
"CarterCounty",1,5,4,114,148,12,185,34,13,48,6,22,1,7,255,272,65,114,33,66
"CassCounty",466,59,199,1728,1458,906,3686,2588,210,633,175,762,141,1216,3226,3638,429,2704,580,1113
"CedarCounty",105,2,60,126,271,56,508,18,54,112,14,60,1,62,411,991,40,310,45,131
"CharitonCounty",96,0,289,153,112,190,226,77,6,65,30,41,2,19,310,342,2,68,45,190
"ChristianCounty",41,81,103,1446,1526,777,2513,359,370,641,177,761,71,524,2671,1528,212,1948,508,689
"ClarkCounty",22,3,0,17,206,135,233,59,15,72,5,14,0,34,232,204,1,95,21,106
"ClayCounty",143,56,334,4069,11069,5140,12102,4323,738,2125,1382,8011,1287,5335,7867,13737,3224,9971,2507,2607
"ClintonCounty",41,0,3,312,245,139,341,24,66,174,29,74,5,124,686,1092,22,266,89,217
"ColeCounty",132,39,279,2339,2141,1313,5154,525,1030,2177,265,2020,1159,2444,2160,5121,794,3404,1794,18560
"CooperCounty",53,3,45,322,549,107,786,171,35,120,61,133,18,143,497,919,26,894,206,599
"CrawfordCounty",6,6,69,273,2079,145,737,88,47,183,68,131,68,124,649,1361,20,556,196,250
"DadeCounty",263,9,5,60,268,166,186,31,9,42,2,15,2,25,276,238,12,58,12,77
"DallasCounty",4,3,1,85,186,134,501,30,28,111,26,51,2,17,531,318,7,249,91,108
"DaviessCounty",31,0,20,60,183,78,277,20,43,58,4,9,0,6,341,171,3,80,24,197
"DeKalbCounty",12,0,108,103,45,236,499,93,7,218,17,31,13,77,516,370,6,382,85,1201
"DentCounty",28,0,21,197,700,65,497,54,51,197,17,58,31,57,297,896,35,347,72,123
"DouglasCounty",45,9,3,74,689,57,340,43,32,53,5,45,0,75,253,277,5,164,40,97
"DunklinCounty",343,0,121,194,475,444,1337,305,76,301,371,176,104,116,1066,3113,43,657,152,543
"FranklinCounty",130,64,407,2685,8744,1156,4438,1106,603,1077,252,1253,647,1733,3381,3048,381,3196,1071,999
"GasconadeCounty",2,33,3,150,1567,152,636,150,45,141,30,129,71,421,448,936,113,419,110,178
"GentryCounty",86,0,11,61,212,180,283,38,19,58,59,21,0,46,250,850,1,94,59,127
"GreeneCounty",351,74,641,6752,11070,9384,19527,8514,3325,7226,2347,7143,4075,10957,13398,32931,2350,15191,5038,4475
"GrundyCounty",96,2,79,107,656,93,424,36,56,62,32,80,0,40,507,854,24,226,69,356
"HarrisonCounty",77,5,18,38,43,167,478,40,67,109,11,44,7,26,376,492,11,279,80,617
"HenryCounty",30,3,167,697,1050,264,1162,126,84,245,43,164,13,104,714,1949,108,662,173,218
"HickoryCounty",48,9,15,45,5,24,235,8,8,41,3,17,3,13,195,166,81,75,22,60
"HoltCounty",58,3,3,44,163,96,201,16,12,41,5,9,49,8,191,193,12,99,30,123
"HowardCounty",17,15,30,66,289,74,299,50,24,126,14,50,0,39,689,629,2,127,38,176
"HowellCounty",39,35,152,434,2533,647,1732,417,202,350,112,764,348,462,1260,3479,114,1145,354,440
"IronCounty",12,988,14,43,75,21,410,116,29,54,23,29,0,24,404,1008,18,150,71,122
"JacksonCounty",276,64,3646,17899,23224,15566,36571,11773,8826,23472,5523,29402,11271,19752,26945,59118,7442,33970,12032,22816
"JasperCounty",331,95,335,2401,8818,2308,7008,5455,614,1174,513,1201,711,3445,5015,6806,431,4485,1792,1351
"JeffersonCounty",72,108,410,4151,3951,1981,6615,963,316,1214,553,1248,317,3186,7239,6874,483,5333,1906,1399
"JohnsonCounty",162,9,111,684,1195,361,1552,404,143,334,77,289,48,334,1480,2271,182,1584,306,966
"KnoxCounty",20,19,5,12,183,66,88,26,34,51,0,38,3,9,157,145,1,68,136,67
"LacledeCounty",37,4,138,453,4737,447,1685,257,162,310,58,191,33,380,1025,1267,61,1178,214,263
"LafayetteCounty",138,0,91,599,861,347,1217,246,119,237,139,241,8,239,1118,1759,40,715,178,620
"LawrenceCounty",303,21,74,537,1527,243,1078,389,102,213,57,296,88,103,1027,1610,50,718,177,260
"LewisCounty",179,13,40,100,109,77,315,144,17,109,6,31,43,37,503,430,208,131,37,119
"LincolnCounty",151,92,150,977,1024,288,1548,656,68,351,73,232,20,824,1837,1380,99,920,207,445
"LinnCounty",19,0,21,122,866,88,475,94,225,194,17,70,115,33,518,522,16,294,129,218
"LivingstonCounty",43,2,75,304,589,362,905,224,86,263,37,126,29,129,457,1109,24,462,253,620
"McDonaldCounty",312,6,27,359,3451,292,744,129,48,110,5,49,1,361,768,339,11,283,49,166
"MaconCounty",92,3,55,202,471,226,539,140,54,136,37,274,5,79,571,638,13,531,208,415
"MadisonCounty",26,193,73,273,434,57,514,114,10,76,15,45,6,54,463,887,10,262,155,113
"MariesCounty",3,0,5,61,171,55,193,82,13,71,10,15,5,36,220,193,2,67,27,100
"MarionCounty",80,26,98,678,997,800,2545,309,119,422,58,322,35,339,1291,3267,236,1310,252,587
"MercerCounty",20,8,6,9,0,25,71,21,79,20,12,7,0,4,152,90,13,26,20,75
"MillerCounty",65,3,49,582,826,217,1326,243,60,174,158,211,2,427,972,502,183,631,191,250
"MississippiCounty",418,0,10,71,43,203,423,574,22,132,80,28,14,16,396,617,15,293,76,535
"MoniteauCounty",235,0,121,375,494,178,481,19,31,114,10,60,5,41,395,443,24,207,64,592
"MonroeCounty",47,6,34,56,495,97,174,68,14,48,8,23,36,21,347,285,20,98,37,126
"MontgomeryCounty",53,14,1,229,466,201,324,105,15,135,11,14,0,26,327,440,15,191,79,208
"MorganCounty",166,5,8,297,163,153,901,145,29,130,16,260,6,72,474,327,35,413,110,244
"NewMadridCounty",379,0,313,201,1758,683,1173,323,29,159,34,54,19,111,499,1134,4,562,92,286
"NewtonCounty",69,23,305,863,3280,962,2520,601,179,516,100,368,167,510,2555,6423,182,1913,421,486
"NodawayCounty",46,3,55,208,1492,255,864,44,85,278,44,157,45,165,1621,653,78,1002,183,451
"OregonCounty",24,1,2,18,264,30,384,172,35,59,14,24,122,30,376,512,4,164,27,116
"OsageCounty",21,19,43,307,1194,118,400,134,12,92,9,22,2,25,538,249,10,212,35,154
"OzarkCounty",31,0,8,59,190,29,178,37,5,122,8,50,0,20,351,136,43,131,27,371
"PemiscotCounty",214,16,63,46,717,343,787,220,18,191,31,35,1,80,663,1703,288,246,96,317
"PerryCounty",43,1,89,673,3508,393,1029,521,58,371,22,142,88,297,508,1385,99,532,212,171
"PettisCounty",214,12,100,758,4297,620,2382,518,367,358,206,574,97,1265,1844,3306,112,1600,823,451
"PhelpsCounty",11,17,110,617,1100,440,2728,1197,107,390,118,429,43,362,2558,4415,437,1790,369,540
"PikeCounty",410,43,43,305,257,442,1247,89,58,150,17,176,48,83,526,892,123,389,271,832
"PlatteCounty",103,58,276,1548,4020,2402,5684,3631,794,1531,1088,1406,829,3663,3446,3905,1337,4857,1217,970
"PolkCounty",82,12,65,267,289,638,1114,78,304,185,63,193,53,342,1581,2049,73,441,188,267
"PulaskiCounty",11,25,122,410,172,107,1583,166,112,444,127,1420,32,512,2027,1066,46,2078,326,404
"PutnamCounty",22,0,20,19,19,71,156,25,8,70,22,47,2,3,144,296,8,19,25,318
"RallsCounty",16,0,115,219,2066,211,216,118,6,42,13,11,20,82,153,224,11,125,31,96
"RandolphCounty",50,13,60,317,852,461,1023,598,135,287,75,128,678,100,1366,1767,104,698,205,777
"RayCounty",84,14,46,247,377,94,570,204,29,140,13,112,40,78,498,823,88,323,69,266
"ReynoldsCounty",5,3,12,9,283,77,154,25,27,16,2,7,23,12,272,408,6,52,19,85
"RipleyCounty",37,0,20,44,508,51,400,43,23,43,9,86,0,12,405,1019,5,227,70,98
"StCharlesCounty",173,26,656,7920,9818,6363,18545,3917,3786,8063,1689,5528,1397,9845,13160,13515,3720,15579,4771,2424
"StClairCounty",7,5,0,59,52,24,273,94,22,75,12,30,0,93,190,539,0,73,43,216
"SteGenevieveCounty",39,219,35,398,702,374,504,998,53,134,35,76,7,122,342,937,33,402,201,148
"StFrancoisCounty",133,76,131,1052,1888,692,3034,395,222,913,143,428,136,1194,2362,5898,245,1833,684,2639
"StLouisCounty",392,419,1307,29490,33214,35385,70239,19522,13699,35650,12630,40781,32573,44645,46742,97711,11134,51076,18864,10248
"SalineCounty",499,0,138,239,1475,380,942,115,182,267,18,108,58,140,1137,2326,148,576,138,305
"SchuylerCounty",0,0,34,38,14,6,88,4,5,25,0,19,0,0,144,157,4,11,10,56
"ScotlandCounty",25,0,6,32,61,87,163,20,23,37,3,31,0,8,172,353,9,53,37,91
"ScottCounty",381,8,122,802,2373,830,1294,828,247,430,130,428,112,396,1153,3352,50,1105,454,640
"ShannonCounty",30,5,0,24,492,15,132,47,2,39,4,20,1,5,226,185,11,43,12,92
"ShelbyCounty",91,19,5,54,258,61,247,51,11,64,6,58,0,26,271,342,1,80,70,167
"StoddardCounty",504,43,43,444,2533,473,1192,335,96,333,97,163,6,106,846,1740,42,636,178,362
"StoneCounty",4,7,35,486,118,83,702,42,64,104,63,175,49,485,826,534,1228,680,271,364
"SullivanCounty",1,4,43,41,28,109,133,16,51,49,8,36,12,128,252,314,0,10,15,94
"TaneyCounty",14,63,192,849,532,541,4099,449,321,446,612,516,136,1930,1698,2422,2041,6923,970,555
"TexasCounty",35,16,100,205,748,88,735,298,80,192,28,112,10,116,902,1002,3,387,70,758
"VernonCounty",425,31,40,196,1328,234,774,196,60,219,42,153,33,206,844,1640,73,421,155,154
"WarrenCounty",43,8,14,615,1599,254,916,289,52,211,54,143,109,141,787,661,48,573,206,391
"WashingtonCounty",6,55,22,193,532,84,520,190,25,133,41,60,7,121,782,1108,19,276,150,684
"WayneCounty",14,46,6,60,419,13,370,34,154,121,5,67,1,43,331,541,4,205,89,150
"WebsterCounty",40,15,188,396,1023,171,1095,288,49,243,35,172,1,312,1020,625,31,568,121,431
"WorthCounty",14,0,4,17,64,12,44,48,0,18,1,5,0,11,84,67,0,16,7,32
"WrightCounty",26,15,40,164,487,353,773,170,47,143,37,55,71,114,655,480,39,334,127,224
"StLouiscity",348,17,3225,7970,16249,12586,9643,8390,3559,6817,2636,19334,9343,19419,15068,47470,11025,21866,7913,10432
